address,share,tag,additional_data
0x4eb9a761885eb383a422067af4f7279dfc204745,0.003484320557,sdvt,{}
0x4eeb252ea907a972688ec0bba7d68327e9869285,0.003484320557,sdvt,{}
0x4f8f32bd0f6773c0ba59c326c88d0412c714dbb5,0.003484320557,sdvt,{}
0x4f9be993e7c24151405cb530426a6bbf26c803a0,0.003484320557,sdvt,{}
0x52903903d93da6b7b40bceb3fb2a52090dcbebbb,0.003484320557,sdvt,{}
0x53390590476dc98860316e4b46bb9842af55efc4,0.003484320557,sdvt,{}
0x55ad9fb7193b0f23fe32718ce3befe4a90da061c,0.003484320557,sdvt,{}
0x56a64476be449952fb7cd5915c1ae08d188644c4,0.003484320557,sdvt,{}
0x5746b903703c1a589cd318bd987a962c37008f49,0.003484320557,sdvt,{}
0x581e86115c7f0928b893e67d08cba6737b9d8acb,0.003484320557,sdvt,{}
0x5a2a2758ad3d721cdf165917be05f54e587c1b40,0.003484320557,sdvt,{}
0x5bb05323427b6646325b34d7602c1de12f79efb3,0.003484320557,sdvt,{}
0x5c4c4133a2166ee8a43cbd182db4cadca5366eaf,0.003484320557,sdvt,{}
0x5cdf7402cb6a36067f146fc144df95d0aed62e6c,0.003484320557,sdvt,{}
0x5dee3232f7d6ba2845d2e007aca6fad8e390b314,0.003484320557,sdvt,{}
0x5deea49b127ed42dc23dbc968a4cb46ff6e66299,0.003484320557,sdvt,{}
0x5f303640a003d665ccfb76d28176a494469a8ce8,0.003484320557,sdvt,{}
0x60aa666bcef5e9a3393c6b203690abc2ea76f06b,0.003484320557,sdvt,{}
0x6175ced4e67e44cd73d87d2379d428e9468f579b,0.003484320557,sdvt,{}
0x626dd8ceb6be6121982d2eef2f772455d841047c,0.003484320557,sdvt,{}
0x64867f5bb09aea861c6eba9886a45983e76f0e99,0.003484320557,sdvt,{}
0x64a041c3b1f1bda2396add0c75a4d07124161cbb,0.003484320557,sdvt,{}
0x65f17d076b7bacbf59618c60febcb8a7cfc2acc9,0.003484320557,sdvt,{}
0x665157387c1bb1244ac57e02ddf2def48adc219d,0.003484320557,sdvt,{}
0x6897abe0fd62b589260784b21f4ca3f78a0d8017,0.003484320557,sdvt,{}
0x68f06309fab6678389dd9005253e25f6c397bb51,0.003484320557,sdvt,{}
